Beginning portrait word transform...
Portrait word transform saved to portrait_modified.png
         9459716 function calls in 252.783 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  256.042  256.042 portrait_words.py:1(<module>)
        1    0.029    0.029  256.037  256.037 portrait_words.py:12(main)
        1    0.020    0.020  135.919  135.919 portrait_words.py:285(safe_save)
        1  133.866  133.866  134.872  134.872 Image.py:1394(save)
        1    0.582    0.582  120.084  120.084 portrait_words.py:47(wordize)
        1    1.022    1.022  116.099  116.099 portrait_words.py:203(gradient_fill)
   242499    2.482    0.000  115.073    0.000 portrait_words.py:252(<lambda>)
   242499    1.570    0.000  107.832    0.000 portrait_words.py:276(color_weighted_avg)
  2182491   73.821    0.000   77.081    0.000 {eval}
   484998   16.593    0.000   69.245    0.000 portrait_words.py:259(color_scalar_multiply)
   242499    6.439    0.000   37.017    0.000 portrait_words.py:268(color_linear_add)
   969996    3.035    0.000    4.759    0.000 portrait_words.py:251(<lambda>)
  2182492    4.648    0.000    4.648    0.000 {method 'format' of 'str' objects}
        1    1.291    1.291    2.069    2.069 portrait_words.py:181(color_to_transparent)
   969996    1.724    0.000    1.724    0.000 {math.sqrt}
        2    0.000    0.000    1.027    0.514 posixpath.py:95(splitext)
        2    0.849    0.425    1.027    0.514 genericpath.py:85(_splitext)
        1    0.550    0.550    0.992    0.992 portrait_words.py:126(black_posterize)
   727543    0.937    0.000    0.937    0.000 {len}
   663456    0.775    0.000    0.775    0.000 {abs}
        1    0.078    0.078    0.748    0.748 PngImagePlugin.py:462(_save)
   245009    0.575    0.000    0.575    0.000 {range}
   305000    0.435    0.000    0.435    0.000 portrait_words.py:143(split_black_gray)
        1    0.025    0.025    0.348    0.348 ImageFile.py:466(_save)
        1    0.218    0.218    0.341    0.341 portrait_words.py:63(combine_with_mask)
        3    0.205    0.068    0.205    0.068 {open}
        6    0.132    0.022    0.199    0.033 PngImagePlugin.py:423(o32)
        4    0.062    0.015    0.196    0.049 PngImagePlugin.py:443(putchunk)
        2    0.107    0.054    0.193    0.096 PngImagePlugin.py:459(write)
        4    0.178    0.045    0.178    0.045 {method 'rfind' of 'str' objects}
        1    0.095    0.095    0.097    0.097 portrait_words.py:95(grayscale_modify)
        2    0.079    0.039    0.079    0.039 {built-in method encode}
       16    0.069    0.004    0.069    0.004 Image.py:606(load)
       69    0.066    0.001    0.066    0.001 {chr}
       13    0.059    0.005    0.059    0.005 {method 'write' of 'file' objects}
       10    0.039    0.004    0.039    0.004 {PIL._imaging.crc32}
        8    0.024    0.003    0.024    0.003 PngImagePlugin.py:420(o16)
        2    0.000    0.000    0.023    0.012 ImageFile.py:124(load)
        2    0.023    0.011    0.023    0.011 {built-in method decode}
        2    0.000    0.000    0.022    0.011 Image.py:664(convert)
        7    0.019    0.003    0.019    0.003 Image.py:83(isStringType)
        1    0.017    0.017    0.017    0.017 {method 'flush' of 'file' objects}
        1    0.014    0.014    0.014    0.014 {max}
        1    0.008    0.008    0.008    0.008 PngImagePlugin.py:456(__init__)
        2    0.000    0.000    0.004    0.002 Image.py:1943(open)
        1    0.001    0.001    0.004    0.004 Image.py:27(<module>)
        2    0.003    0.002    0.003    0.002 {built-in method convert}
        1    0.000    0.000    0.003    0.003 {__import__}
        3    0.001    0.000    0.003    0.001 Image.py:290(preinit)
        1    0.000    0.000    0.003    0.003 FixTk.py:1(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:4(<module>)
        1    0.000    0.000    0.002    0.002 Image.py:1702(load)
        1    0.000    0.000    0.001    0.001 optparse.py:1190(__init__)
        1    0.000    0.000    0.001    0.001 Image.py:740(copy)
        1    0.001    0.001    0.001    0.001 {built-in method copy}
        1    0.000    0.000    0.001    0.001 Image.py:1750(new)
        1    0.001    0.001    0.001    0.001 {PIL._imaging.fill}
        1    0.001    0.001    0.001    0.001 {method 'close' of 'file' objects}
        1    0.001    0.001    0.001    0.001 {built-in method crop}
        1    0.001    0.001    0.001    0.001 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.001    0.001 gettext.py:580(gettext)
        2    0.000    0.000    0.001    0.001 gettext.py:542(dgettext)
        2    0.000    0.000    0.001    0.001 gettext.py:476(translation)
        2    0.000    0.000    0.001    0.001 gettext.py:421(find)
        2    0.000    0.000    0.001    0.000 ImageFile.py:72(__init__)
        1    0.000    0.000    0.001    0.001 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.001    0.001 optparse.py:1257(_populate_option_list)
        1    0.000    0.000    0.001    0.001 optparse.py:1247(_add_help_option)
        1    0.000    0.000    0.001    0.001 JpegImagePlugin.py:272(_open)
        1    0.000    0.000    0.001    0.001 optparse.py:1276(set_usage)
        1    0.000    0.000    0.001    0.001 re.py:188(compile)
