         10509189 function calls (10508351 primitive calls) in 33.494 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.012    0.012   33.496   33.496 vis.py:2(<module>)
        1    0.000    0.000   33.251   33.251 vis.py:19(main)
        3    0.001    0.000   31.627   10.542 vis.py:49(transparent_word_cloud)
        3    0.004    0.001   21.516    7.172 __init__.py:325(create_tag_image)
        3    0.008    0.003   21.326    7.109 __init__.py:259(_draw_cloud)
      296    1.564    0.005   21.093    0.071 __init__.py:194(_search_place)
   448450    4.172    0.000   16.132    0.000 __init__.py:135(_do_collide)
  2356769    7.765    0.000   11.153    0.000 sprite.py:1291(collide_mask)
        3    6.239    2.080   10.071    3.357 portrait_words.py:181(color_to_transparent)
  3224892    3.824    0.000    3.824    0.000 {abs}
  2356769    3.388    0.000    3.388    0.000 {method 'overlap' of 'pygame.mask.Mask' objects}
   448746    2.122    0.000    3.371    0.000 __init__.py:166(_archimedean_spiral)
        1    0.972    0.972    1.562    1.562 vis.py:69(transparent_combine)
    71412    0.303    0.000    0.811    0.000 sprite.py:301(__iter__)
   448450    0.639    0.000    0.639    0.000 {math.cos}
   448450    0.610    0.000    0.610    0.000 {math.sin}
   445031    0.582    0.000    0.582    0.000 {max}
    71718    0.268    0.000    0.414    0.000 sprite.py:271(sprites)
        3    0.005    0.002    0.253    0.084 __init__.py:2(<module>)
        3    0.165    0.055    0.165    0.055 {pygame.image.save}
      296    0.036    0.000    0.160    0.001 __init__.py:54(__init__)
    71736    0.147    0.000    0.147    0.000 {method 'keys' of 'dict' objects}
        1    0.013    0.013    0.114    0.114 __init__.py:25(<module>)
        1    0.001    0.001    0.097    0.097 surfarray.py:60(<module>)
        1    0.000    0.000    0.096    0.096 _numpysurfarray.py:45(<module>)
        1    0.002    0.002    0.096    0.096 __init__.py:106(<module>)
    71412    0.095    0.000    0.095    0.000 {iter}
      296    0.088    0.000    0.088    0.000 {method 'render' of 'pygame.font.Font' objects}
        1    0.072    0.072    0.072    0.072 {pygame.base.init}
        1    0.000    0.000    0.062    0.062 portrait_words.py:285(safe_save)
        1    0.000    0.000    0.062    0.062 Image.py:1394(save)
        1    0.000    0.000    0.061    0.061 PngImagePlugin.py:462(_save)
        1    0.000    0.000    0.061    0.061 ImageFile.py:466(_save)
        1    0.060    0.060    0.060    0.060 {built-in method encode}
        1    0.001    0.001    0.057    0.057 add_newdocs.py:9(<module>)
        3    0.003    0.001    0.045    0.015 __init__.py:1(<module>)
       19    0.000    0.000    0.042    0.002 re.py:188(compile)
       19    0.000    0.000    0.042    0.002 re.py:226(_compile)
       19    0.000    0.000    0.042    0.002 sre_compile.py:495(compile)
      592    0.034    0.000    0.034    0.000 {method 'blit' of 'pygame.Surface' objects}
      296    0.030    0.000    0.033    0.000 __init__.py:93(update_fontsize)
        1    0.001    0.001    0.033    0.033 __init__.py:99(<module>)
        3    0.000    0.000    0.030    0.010 Image.py:1325(rotate)
        1    0.001    0.001    0.029    0.029 __init__.py:15(<module>)
        1    0.000    0.000    0.027    0.027 type_check.py:3(<module>)
        3    0.000    0.000    0.025    0.008 ImageFile.py:124(load)
       19    0.000    0.000    0.024    0.001 sre_parse.py:663(parse)
    63/19    0.001    0.000    0.024    0.001 sre_parse.py:301(_parse_sub)
    85/19    0.005    0.000    0.023    0.001 sre_parse.py:379(_parse)
       48    0.022    0.000    0.022    0.000 {built-in method decode}
        1    0.001    0.001    0.020    0.020 decimal.py:116(<module>)
      592    0.004    0.000    0.019    0.000 __init__.py:78(_update_mask)
      296    0.003    0.000    0.019    0.000 __init__.py:86(rotate)
       19    0.000    0.000    0.017    0.001 sre_compile.py:480(_code)
      262    0.010    0.000    0.013    0.000 function_base.py:3178(add_newdoc)
     2964    0.013    0.000    0.013    0.000 {range}
      306    0.004    0.000    0.013    0.000 __init__.py:150(_get_tags_bounding)
   146/19    0.003    0.000    0.012    0.001 sre_compile.py:32(_compile)
     1224    0.003    0.000    0.011    0.000 sre_parse.py:201(get)
5302/4920    0.007    0.000    0.011    0.000 {len}
        1    0.000    0.000    0.010    0.010 _internal.py:4(<module>)
     1402    0.006    0.000    0.009    0.000 sre_parse.py:182(__next)
       47    0.001    0.000    0.008    0.000 sre_compile.py:178(_compile_charset)
      888    0.003    0.000    0.008    0.000 random.py:237(randint)
      593    0.008    0.000    0.008    0.000 {pygame.mask.from_surface}
        1    0.000    0.000    0.008    0.008 encoder.py:2(<module>)
       47    0.002    0.000    0.007    0.000 sre_compile.py:207(_optimize_charset)
      592    0.007    0.000    0.007    0.000 {method 'convolve' of 'pygame.mask.Mask' objects}
        6    0.000    0.000    0.007    0.001 string.py:148(substitute)
        6    0.004    0.001    0.007    0.001 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.007    0.007 __init__.py:6(<module>)
        1    0.000    0.000    0.007    0.007 polynomial.py:3(<module>)
      596    0.004    0.000    0.006    0.000 posixpath.py:60(join)
        1    0.001    0.001    0.006    0.006 __init__.py:38(<module>)
        1    0.001    0.001    0.006    0.006 __init__.py:45(<module>)
       19    0.000    0.000    0.005    0.000 sre_compile.py:361(_compile_info)
      888    0.004    0.000    0.005    0.000 random.py:173(randrange)
        3    0.005    0.002    0.005    0.002 {built-in method rotate}
        1    0.004    0.004    0.005    0.005 polynomial.py:48(<module>)
        1    0.004    0.004    0.005    0.005 hermite_e.py:50(<module>)
      296    0.005    0.000    0.005    0.000 {pygame.transform.rotate}
        3    0.002    0.001    0.005    0.002 __init__.py:110(make_tags)
      299    0.003    0.000    0.005    0.000 sprite.py:307(add)
        2    0.003    0.002    0.005    0.003 sre_compile.py:301(_optimize_unicode)
        1    0.001    0.001    0.005    0.005 index_tricks.py:1(<module>)
      592    0.003    0.000    0.004    0.000 random.py:272(choice)
        1    0.001    0.001    0.004    0.004 __init__.py:44(<module>)
        3    0.000    0.000    0.004    0.001 Image.py:664(convert)
        1    0.003    0.003    0.004    0.004 chebyshev.py:78(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:341(load)
        1    0.000    0.000    0.004    0.004 __init__.py:398(loads)
        3    0.004    0.001    0.004    0.001 {built-in method convert}
        1    0.000    0.000    0.004    0.004 decoder.py:401(decode)
        1    0.000    0.000    0.004    0.004 decoder.py:412(raw_decode)
        1    0.000    0.000    0.004    0.004 scanner.py:69(scan_once)
     85/1    0.000    0.000    0.004    0.004 scanner.py:32(_scan_once)
        1    0.000    0.000    0.004    0.004 decoder.py:276(JSONArray)
        5    0.000    0.000    0.004    0.001 Image.py:1702(load)
        1    0.000    0.000    0.004    0.004 decoder.py:2(<module>)
        1    0.003    0.003    0.004    0.004 legendre.py:51(<module>)
        1    0.003    0.003    0.004    0.004 laguerre.py:50(<module>)
        3    0.004    0.001    0.004    0.001 {built-in method crop}
        1    0.003    0.003    0.004    0.004 hermite.py:50(<module>)
     3227    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
       21    0.001    0.000    0.004    0.000 decoder.py:180(JSONObject)
        1    0.001    0.001    0.004    0.004 Image.py:27(<module>)
      296    0.004    0.000    0.004    0.000 {method 'get_bounding_rect' of 'pygame.Surface' objects}
        1    0.001    0.001    0.004    0.004 core.py:21(<module>)
      306    0.001    0.000    0.004    0.000 sprite.py:449(__len__)
        1    0.003    0.003    0.003    0.003 linalg.py:10(<module>)
        3    0.000    0.000    0.003    0.001 Image.py:1943(open)
        1    0.000    0.000    0.003    0.003 __init__.py:9(<module>)
        1    0.001    0.001    0.003    0.003 Queue.py:1(<module>)
        2    0.000    0.000    0.003    0.001 {__import__}
     1815    0.003    0.000    0.003    0.000 {isinstance}
      558    0.002    0.000    0.003    0.000 string.py:158(convert)
       11    0.001    0.000    0.003    0.000 {method 'sort' of 'list' objects}
        1    0.001    0.001    0.003    0.003 numerictypes.py:88(<module>)
        1    0.000    0.000    0.003    0.003 FixTk.py:1(<module>)
      296    0.001    0.000    0.003    0.000 copy.py:66(copy)
        1    0.001    0.001    0.003    0.003 numeric.py:1(<module>)
      563    0.002    0.000    0.003    0.000 sre_parse.py:130(__getitem__)
      296    0.003    0.000    0.003    0.000 __init__.py:97(load_font)
      126    0.001    0.000    0.002    0.000 decoder.py:96(py_scanstring)
        1    0.002    0.002    0.002    0.002 __init__.py:4(<module>)
        1    0.000    0.000    0.002    0.002 scanner.py:2(<module>)
        3    0.002    0.001    0.002    0.001 collections.py:237(namedtuple)
       48    0.000    0.000    0.002    0.000 PngImagePlugin.py:383(load_read)
        4    0.001    0.000    0.002    0.001 Image.py:290(preinit)
       40    0.000    0.000    0.002    0.000 core.py:106(get_object_signature)
        1    0.001    0.001    0.002    0.002 case.py:1(<module>)
     1480    0.002    0.000    0.002    0.000 {method 'random' of '_random.Random' objects}
        1    0.001    0.001    0.002    0.002 npyio.py:1(<module>)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
     1380    0.002    0.000    0.002    0.000 {method 'contains' of 'pygame.Rect' objects}
      434    0.001    0.000    0.002    0.000 sre_parse.py:195(match)
       23    0.000    0.000    0.002    0.000 core.py:5915(__init__)
   195/73    0.001    0.000    0.002    0.000 sre_parse.py:140(getwidth)
       23    0.000    0.000    0.002    0.000 core.py:5919(getdoc)
        1    0.001    0.001    0.002    0.002 defmatrix.py:1(<module>)
      607    0.002    0.000    0.002    0.000 {method 'setdefault' of 'dict' objects}
        1    0.001    0.001    0.002    0.002 __init__.py:84(<module>)
        1    0.000    0.000    0.002    0.002 numbers.py:6(<module>)
        1    0.001    0.001    0.001    0.001 billabong_passwords.py:2(<module>)
       51    0.000    0.000    0.001    0.000 PngImagePlugin.py:85(read)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arraysetops.py:25(<module>)
        1    0.000    0.000    0.001    0.001 difflib.py:29(<module>)
        1    0.001    0.001    0.001    0.001 yahoo_passwords.py:2(<module>)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
      296    0.001    0.000    0.001    0.000 __init__.py:267(<lambda>)
        1    0.001    0.001    0.001    0.001 defchararray.py:17(<module>)
      592    0.001    0.000    0.001    0.000 {method 'startswith' of 'unicode' objects}
       31    0.001    0.000    0.001    0.000 _inspect.py:157(formatargspec)
        5    0.000    0.000    0.001    0.000 abc.py:86(__new__)
      630    0.001    0.000    0.001    0.000 {getattr}
      808    0.001    0.000    0.001    0.000 {method 'group' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.001    0.001 warnings.py:45(filterwarnings)
        3    0.001    0.000    0.001    0.000 numeric.py:122(extend_all)
      261    0.001    0.000    0.001    0.000 sre_parse.py:126(__len__)
      598    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 numerictypes.py:300(_add_aliases)
       40    0.000    0.000    0.001    0.000 _inspect.py:118(getargspec)
